"","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated"
"23","Star Trek III","PG",0,"Janet Maslin","STAR TREK III: THE SEARCH FOR SPOCK (MOVIE)","Klingons vs. Genesis planet. Spirited, but formula already worn around the edges.","1984-06-01","1984-06-01","2017-11-02 04:17:33"
"24","Star Trek II: the Wrath of Khan","PG",1,"Janet Maslin","STAR TREK II: THE WRATH OF KHAN (MOVIE)","Villain out for revenge against Kirk. The best of the bunch so far.","1982-06-04","1982-06-04","2017-11-02 04:17:31"
"25","Star Trek: the Motion Picture","G",0,"VINCENT CANBY","Star Trek -The Motion Picture (Movie)","Enterprise crew seeks intelligent alien entity. Director's edition. The first, and pretty lifeless.","1979-12-08","1979-12-07","2017-11-02 04:17:29"
"26","The Fifth Element","PG-13",0,"Janet Maslin","Fifth Element, the (Movie)  ","In 23rd century, taxi driver and nymphet must save world. Design triumphs over coherence.","1997-05-09","1997-05-09","2017-11-02 04:17:53"
"27","Spaceballs","PG",0,"Janet Maslin","SPACEBALLS (MOVIE)","Encounters of the Mel Brooks kind. Splattery sci-fi spoof, with some hilarious moments.","1987-06-24","1987-06-24","2017-11-02 04:17:37"
"28","The Chronicles of Riddick","Not Rated",0,"Stephen Holden","Signs of Testosterone Are All Over the Universe","The concentration of synthetic hormones pumping through the vascular system of &quot;The Chronicles of Riddick&quot; matches any recent action-adventure movie in the sheer density of steroids per liter of body fluid. In bodybuilding terms, this overmuscled sequel to &quot;Pitch Black&quot; is all bulk and no definition. In touch with the grunting, preening culture of professional wrestling, the negligible screenplay by David Twohy, who directed  both movies, is crammed with trailer-ready taglines. Intoned by Vin Diesel with a sly comic gravity, these enigmatic blurbs mean next to nothing. Returning from &quot;Pitch  Black,&quot; Mr. Diesel's character, Riddick, a fugitive from a distant planet, pursued across the universe by bounty hunters, might be described as the heavy-metal version of Brad Pitt's Achilles in &quot;Troy.&quot; Here he runs afoul of the Necromongers, an evil race of conquerors. The movie is all about nonstop action, computer generated spectacle and sanitized sadomasochism, edited into one big roaring whir. — Stephen Holden","2004-06-11","2004-06-11","2017-11-02 04:18:03"
"29","Topsy-Turvy","R",1,"Janet Maslin","Topsy-Turvy (Movie)  ","Mike Leigh's grandly entertaining &quot;Topsy-Turvy&quot; is one of those films that create a mix of erudition, pageantry and delectable acting opportunities, much as ''Shakespeare in Love'' did last year. Instead of a love-struck young playwright, it presents the curiously matched personalities of the librettist William Schwenk Gilbert and the composer Arthur Sullivan in the midst of a robust, knowing, frequently hilarious look at the musical theater over which they held sway. — Janet Maslin","1999-10-02","2000-02-11","2017-11-02 04:17:58"
"30","Dune","PG-13",0,"Janet Maslin","DUNE (MOVIE)","Herbert's spice planet, via Lynch. Big, blustery sci-fi with a Soupy Sales soul.","1984-12-14","1984-12-14","2017-11-02 04:17:33"
"31","Woman in the Dunes","Not Rated",1,"BOSLEY CROWTHER","Suno no Onna (Movie)","Japanese sandpit to remember. Truly. Riveting parable, via director Teshigahara.","1964-09-17","1964-10-25","2017-11-02 04:17:21"
"32","John Carter","PG-13",0,"By A.&#160;O. SCOTT","The Wild, Wild West of a Certain Red Planet","“John Carter” stars Taylor Kitsch as a Civil War veteran transported from the Old West to another internecine battle — on Mars, of all places.","2012-03-08","2012-03-09","2017-11-02 04:18:14"
"33","Ender's Game","PG-13",0,"MANOHLA DARGIS","And a Child Shall Lead Them Into Space Battle","“Ender’s Game” imagines a future in which youngsters are trained as warriors from an early age to fight Earth’s enemies, the large, insectlike Formics.","2013-10-31","2013-11-01","2017-11-02 04:18:18"
